"Format","MoTeC CSV File",,,"Workbook","LMP3"
"Venue","BAR",,,"Worksheet","KPIs"
"Vehicle","LPM3",,,"Vehicle Desc",""
"Driver","ChassisSim",,,"Engine ID",""
"Device","ADL"
"Comment","",,,"Session",""
"Log Date","28/02/2021",,,"Origin Time","0.400","s"
"Log Time","14:37:00",,,"Start Time","0.400","s"
"Sample Rate","50.000","Hz",,"End Time","101.020","s"
"Duration","100.620","s",,"Start Distance","26","m"
"Range","Lap 1",,,"End Distance","4530","m"
"Beacon Markers","00.000  "


"Time","Engine RPM","G Force Lat","G Force Long","Steered Angle","Throttle Pos","Combined Acceleration","ROLL_SPEED_F","ROLL_SPEED_R","ROLL_ratio","Damper Pos FL","Damper Pos FR","Damper Pos RL","Damper Pos RR","Corr Speed"
"s","rpm","G","G","deg","%","","","","","mm","mm","mm","mm","km/h"


"0.000","6747.00","0.15","0.17","-0.24","100.60","0.23","-14.16","-1.56","0.02","7.85","7.82","26.33","24.93","232.0"
"0.020","6743.00","0.04","-0.01","-0.24","100.50","0.04","8.85","4.16","0.14","7.92","7.74","26.24","24.76","234.0"
"0.040","6747.00","0.02","0.10","-0.26","100.50","0.10","5.31","-7.28","0.23","7.92","7.65","26.07","24.73","232.4"
"0.060","6757.00","-0.04","0.23","-0.27","100.40","0.23","11.80","5.72","0.37","8.01","7.54","25.85","24.40","231.6"
"0.080","6764.00","-0.05","-0.03","-0.24","100.50","0.06","23.60","3.12","0.65","8.32","7.45","25.85","24.34","234.4"
"0.100","6766.00","-0.01","0.04","-0.24","100.60","0.04","11.80","4.16","0.76","8.51","7.44","25.71","24.12","232.8"
"0.120","6766.00","0.02","0.18","-0.24","100.50","0.18","-32.45","6.24","0.35","8.08","7.56","25.07","23.36","232.4"
"0.140","6763.00","0.12","0.02","-0.24","100.50","0.12","-31.27","-6.76","-0.01","7.55","7.56","24.93","23.35","234.0"
"0.160","6770.00","0.17","-0.03","-0.26","100.60","0.17","9.44","-2.08","0.11","7.62","7.47","24.93","23.39","234.0"
"0.180","6772.00","0.12","0.12","-0.26","100.60","0.17","2.95","9.36","0.13","7.81","7.61","25.37","23.65","233.6"
"0.200","6768.00","0.10","0.06","-0.23","100.50","0.12","-10.03","-4.68","0.02","7.64","7.61","25.40","23.77","233.2"
"0.220","6786.00","0.16","-0.01","-0.24","100.50","0.16","-3.54","-8.84","-0.02","7.71","7.74","25.53","24.07","234.4"
"0.240","6792.00","0.05","0.10","-0.24","100.50","0.11","-0.59","-0.00","-0.03","7.94","7.98","25.53","24.07","234.8"
"0.260","6787.00","0.02","0.23","-0.24","100.50","0.23","0.59","1.56","-0.02","7.90","7.93","25.71","24.22","233.2"
"0.280","6786.00","-0.04","0.05","-0.26","100.50","0.06","7.08","-3.12","0.07","8.02","7.93","25.88","24.45","234.4"
"0.300","6785.00","-0.03","0.16","-0.23","100.60","0.16","7.67","-6.24","0.19","8.15","7.93","25.77","24.46","236.0"
"0.320","6801.00","-0.07","0.30","-0.24","100.40","0.31","14.16","-3.12","0.42","8.30","7.84","25.79","24.54","233.2"
"0.340","6806.00","-0.02","0.07","-0.26","100.50","0.07","-16.52","-0.52","0.16","8.02","7.84","25.79","24.55","234.0"
"0.360","6805.00","0.06","0.14","-0.24","100.50","0.15","1.18","-5.20","0.20","8.25","8.05","25.77","24.63","236.0"
"0.380","6809.00","0.16","0.25","-0.26","100.40","0.30","2.36","1.04","0.23","8.29","8.05","25.85","24.69","234.0"
"0.400","6804.00","0.16","0.16","-0.26","100.60","0.23","-1.18","-3.12","0.23","8.41","8.19","25.95","24.85","233.2"
"0.420","6806.00","0.11","0.07","-0.23","100.50","0.13","4.13","6.24","0.27","8.57","8.28","26.12","24.90","235.6"
"0.440","6812.00","0.13","0.14","-0.24","100.60","0.19","-10.62","-0.00","0.10","8.25","8.14","26.22","25.00","234.8"
"0.460","6816.00","0.09","0.25","-0.26","100.60","0.27","39.53","3.12","0.69","8.64","7.86","26.28","25.00","233.6"
"0.480","6819.00","0.04","0.05","-0.24","100.50","0.06","15.34","-17.16","1.24","8.69","7.65","25.92","24.97","235.6"
"0.500","6821.00","-0.04","0.12","-0.26","100.50","0.13","-17.70","27.04","0.57","8.41","7.67","25.92","24.45","236.0"
"0.520","6829.00","0.01","0.28","-0.24","100.50","0.28","-28.91","7.28","0.18","8.20","7.95","25.11","23.50","234.8"
"0.540","6831.00","0.04","0.09","-0.23","100.60","0.10","-2.95","-3.64","0.15","8.39","8.19","24.93","23.39","235.2"
"0.560","6821.00","0.10","0.00","-0.26","100.60","0.10","-2.36","-0.00","0.12","8.37","8.21","25.22","23.68","236.9"
"0.580","6832.00","0.11","0.25","-0.26","100.50","0.27","21.24","7.80","0.35","8.64","8.12","26.06","24.37","235.6"
"0.600","6837.00","0.12","0.16","-0.24","100.60","0.20","2.95","-8.32","0.42","8.48","7.91","26.22","24.69","235.2"
"0.620","6837.00","0.08","-0.07","-0.24","100.50","0.11","20.65","1.56","0.67","8.83","7.91","26.53","24.97","236.9"
"0.640","6842.00","0.00","0.21","-0.24","100.40","0.21","-15.34","-0.00","0.48","8.69","8.03","26.53","24.97","236.9"
"0.660","6848.00","-0.11","0.21","-0.24","100.50","0.24","12.39","-8.32","0.71","8.90","8.03","25.97","24.57","235.2"
"0.680","6853.00","-0.07","-0.02","-0.26","100.50","0.07","-16.52","0.52","0.47","8.64","8.05","25.92","24.51","236.0"
"0.700","6846.00","-0.08","0.09","-0.23","100.50","0.12","-21.24","-2.60","0.19","8.30","8.07","25.70","24.34","237.7"
"0.720","6861.00","-0.01","0.21","-0.23","100.50","0.21","-2.36","2.60","0.15","8.15","7.96","25.65","24.24","235.2"
"0.740","6861.00","0.05","0.00","-0.24","100.50","0.05","15.93","1.04","0.36","8.46","8.00","25.64","24.21","236.9"
"0.760","6535.00","0.15","0.10","-0.24","100.40","0.18","9.44","1.56","0.48","8.71","8.09","25.73","24.27","238.1"
"0.780","6485.00","0.09","0.16","-0.24","100.60","0.18","-18.29","-2.60","0.25","8.36","8.05","25.89","24.48","236.0"
"0.800","6268.00","0.05","0.10","-0.24","100.80","0.11","-19.47","-4.68","-0.02","8.29","8.31","26.07","24.75","236.0"
"0.820","5685.00","0.04","0.00","-0.21","100.80","0.04","50.15","-0.00","0.71","9.37","8.54","26.07","24.75","237.7"
"0.840","5968.00","-0.04","0.14","-0.21","100.90","0.15","-31.27","9.88","0.23","9.09","8.79","26.59","25.08","236.9"
"0.860","6391.00","-0.04","0.16","-0.23","100.90","0.16","-34.81","-1.56","-0.22","8.64","8.93","26.71","25.23","234.8"
"0.880","5792.00","0.00","0.00","-0.23","100.90","0.00","25.96","-16.12","0.15","8.95","8.80","26.60","25.43","237.7"
"0.900","5990.00","0.13","0.07","-0.23","100.70","0.15","53.69","-17.68","1.45","9.60","8.54","26.33","25.50","236.9"
"0.920","6224.00","0.16","0.16","-0.21","100.70","0.23","-3.54","7.80","1.16","9.51","8.51","26.27","25.29","235.2"
"0.940","5953.00","0.17","0.07","-0.21","100.60","0.18","-12.39","-10.40","1.15","9.02","8.23","25.65","24.87","236.4"
"0.960","5976.00","0.19","0.05","-0.23","100.60","0.20","-10.03","3.64","0.83","8.81","8.19","25.52","24.67","237.3"
"0.980","6129.00","0.11","0.21","-0.23","100.60","0.24","16.52","3.64","1.11","9.11","8.21","25.43","24.51","235.6"
"1.000","6030.00","0.04","0.00","-0.21","100.50","0.04","-41.89","-6.24","0.27","8.43","8.24","25.40","24.60","237.7"
"1.020","5998.00","0.00","0.02","-0.21","100.50","0.02","11.80","6.76","0.48","8.67","8.28","25.65","24.72","237.7"
"1.040","6076.00","0.00","0.19","-0.23","100.60","0.19","-7.08","-4.68","0.36","8.62","8.35","25.80","24.96","236.9"
"1.060","6064.00","-0.07","0.07","-0.21","100.70","0.10","4.72","6.24","0.41","8.72","8.37","26.06","25.10","236.9"
"1.080","6022.00","0.00","0.05","-0.23","100.60","0.05","5.31","-0.00","0.52","8.74","8.30","26.06","25.10","238.1"
"1.100","6056.00","-0.02","0.14","-0.20","100.60","0.14","-12.98","1.56","0.25","8.55","8.33","26.15","25.16","238.1"
"1.120","6075.00","0.01","0.16","-0.20","100.60","0.16","15.93","5.72","0.51","8.79","8.30","25.92","24.82","236.9"
"1.140","6044.00","-0.03","0.02","-0.23","100.60","0.04","-9.44","4.68","0.31","8.64","8.31","25.68","24.49","238.1"
"1.160","6056.00","-0.01","0.19","-0.21","100.70","0.19","4.72","5.20","0.36","8.79","8.38","25.59","24.30","238.1"
"1.180","6067.00","-0.06","0.14","-0.21","100.60","0.15","-3.54","-2.08","0.32","8.65","8.30","25.61","24.36","237.3"
"1.200","6058.00","-0.06","0.07","-0.21","100.60","0.09","-2.36","4.68","0.26","8.57","8.26","25.76","24.42","238.5"
"1.220","6064.00","-0.05","0.19","-0.21","100.60","0.20","-0.00","-7.28","0.29","8.69","8.38","25.95","24.75","238.9"
"1.240","6067.00","0.00","0.12","-0.21","100.60","0.12","7.08","-6.24","0.45","8.83","8.40","26.21","25.13","236.9"
"1.260","6071.00","-0.02","0.05","-0.23","100.60","0.05","-9.44","-0.00","0.28","8.65","8.38","26.21","25.13","238.5"
"1.280","6070.00","0.00","0.16","-0.23","100.60","0.16","11.21","4.16","0.45","8.83","8.37","26.71","25.55","239.4"
"1.300","6076.00","0.08","0.07","-0.21","100.70","0.11","7.08","-9.36","0.67","8.88","8.30","26.60","25.62","237.3"
"1.320","6079.00","0.06","0.09","-0.23","100.60","0.11","23.01","13.52","0.89","9.23","8.26","26.68","25.44","238.5"
"1.340","6080.00","-0.02","0.17","-0.21","100.60","0.17","-1.77","-13.00","1.08","8.97","8.03","26.21","25.22","239.4"
"1.360","6087.00","0.03","0.05","-0.23","100.60","0.06","-3.54","-4.16","1.10","8.79","7.91","25.37","24.46","237.7"
"1.380","6094.00","0.05","0.11","-0.23","100.60","0.12","-34.81","23.40","0.24","8.39","8.10","24.75","23.39","238.1"
"1.400","6081.00","0.02","0.19","-0.20","100.60","0.19","-21.24","-6.76","-0.06","8.30","8.37","24.49","23.26","240.2"
"1.420","6090.00","0.02","0.05","-0.20","100.70","0.05","0.59","2.08","-0.05","8.39","8.45","24.97","23.70","237.7"
"1.440","6102.00","0.07","0.09","-0.23","100.80","0.11","31.27","-3.64","0.44","8.71","8.24","25.41","24.21","237.7"
"1.460","6089.00","0.02","0.19","-0.21","100.70","0.19","14.75","-3.12","0.72","8.72","8.00","25.71","24.57","240.6"
"1.480","6090.00","-0.01","0.05","-0.21","100.60","0.05","-22.42","8.32","0.30","8.22","7.88","26.09","24.79","237.7"
"1.500","6104.00","-0.04","0.11","-0.21","100.60","0.12","-11.80","-11.96","0.15","8.16","8.02","25.61","24.54","238.5"
"1.520","6111.00","-0.08","0.19","-0.21","100.70","0.21","-26.55","-0.00","-0.33","8.02","8.33","25.61","24.54","240.6"
"1.540","6105.00","-0.16","0.02","-0.23","100.80","0.16","-7.67","2.08","-0.45","8.01","8.45","24.94","23.83","238.1"
"1.560","6111.00","-0.13","0.09","-0.23","100.70","0.16","-9.44","-1.56","-0.63","8.01","8.61","24.99","23.91","238.5"
"1.580","6106.00","-0.13","0.17","-0.20","100.70","0.21","11.80","-3.12","-0.44","8.16","8.56","25.26","24.24","241.1"
"1.600","6108.00","-0.08","0.05","-0.21","100.80","0.09","23.01","-7.80","-0.01","8.25","8.26","25.80","24.93","238.9"
"1.620","6117.00","-0.05","0.10","-0.21","100.70","0.11","18.29","3.12","0.37","8.58","8.28","26.13","25.20","238.9"
"1.640","6104.00","0.04","0.22","-0.21","100.70","0.22","-18.29","-6.76","-0.01","8.37","8.38","26.30","25.50","241.5"
"1.660","6112.00","0.06","0.00","-0.23","100.60","0.06","-14.75","-0.00","-0.37","8.16","8.42","26.51","25.71","238.9"
"1.680","6126.00","0.07","0.12","-0.23","100.60","0.14","-7.08","-0.52","-0.55","8.25","8.63","26.38","25.59","238.9"
"1.700","6114.00","0.00","0.24","-0.20","100.70","0.24","13.57","-0.00","-0.22","8.58","8.73","26.38","25.59","241.9"
"1.720","6124.00","0.00","0.00","-0.23","100.70","0.00","-12.39","-3.64","-0.57","8.37","8.73","25.85","25.13","239.8"
"1.740","6129.00","-0.01","0.12","-0.23","100.70","0.12","35.40","4.16","0.34","8.83","8.59","25.97","25.17","238.9"
"1.760","6126.00","-0.04","0.22","-0.21","100.70","0.22","-15.93","-4.16","-0.05","8.51","8.54","25.91","25.19","241.9"
"1.780","6128.00","-0.08","0.03","-0.21","100.50","0.09","-0.00","6.24","-0.04","8.58","8.61","26.04","25.20","239.8"
"1.800","6137.00","-0.01","0.12","-0.21","100.70","0.12","-8.26","1.04","-0.22","8.48","8.65","26.24","25.38","238.9"
"1.820","6129.00","0.07","0.22","-0.21","100.80","0.23","1.18","3.12","-0.18","8.51","8.66","26.48","25.56","241.5"
"1.840","6137.00","0.02","0.02","-0.23","100.70","0.03","8.26","1.04","-0.01","8.53","8.54","26.80","25.86","240.2"
"1.860","6136.00","0.02","0.10","-0.23","100.70","0.10","20.65","3.64","0.38","8.76","8.42","26.75","25.74","239.4"
"1.880","6140.00","0.05","0.20","-0.20","100.70","0.21","-10.03","0.00","0.19","8.64","8.47","26.75","25.74","241.9"
"1.900","6144.00","0.00","0.02","-0.21","100.60","0.02","-2.95","13.00","0.11","8.50","8.38","26.07","24.81","240.2"
"1.920","6152.00","-0.13","0.10","-0.23","100.50","0.16","-14.75","-2.60","-0.12","8.39","8.52","25.67","24.46","239.8"
"1.940","6141.00","-0.14","0.20","-0.21","100.60","0.24","10.03","-2.08","0.04","8.62","8.58","25.56","24.39","241.9"
"1.960","6143.00","-0.07","0.00","-0.21","100.60","0.07","-5.90","1.56","-0.06","8.53","8.59","25.86","24.66","240.6"
"1.980","6157.00","-0.07","0.10","-0.21","100.60","0.12","-2.36","4.68","-0.09","8.58","8.68","26.25","24.96","239.8"
"2.000","6152.00","-0.09","0.24","-0.20","100.60","0.26","29.50","-12.48","0.43","8.92","8.52","26.34","25.29","242.4"
"2.020","6146.00","-0.07","0.00","-0.23","100.60","0.07","5.90","1.04","0.53","8.88","8.38","26.72","25.65","241.1"
"2.040","6158.00","-0.04","0.17","-0.23","100.60","0.17","-3.54","1.56","0.45","8.67","8.23","26.42","25.32","240.2"
"2.060","6160.00","-0.06","0.24","-0.21","100.70","0.25","9.44","-34.32","1.55","8.74","8.14","25.76","25.32","242.4"
"2.080","6172.00","-0.08","-0.02","-0.21","100.60","0.08","-5.31","31.20","0.56","8.67","8.16","24.46","23.42","241.5"
"2.100","6170.00","-0.06","0.12","-0.21","100.50","0.13","-8.85","19.24","0.29","8.62","8.26","24.16","22.75","240.6"
"2.120","6168.00","-0.05","0.22","-0.21","100.50","0.23","-37.17","-14.56","-0.27","7.97","8.24","23.67","22.54","242.4"
"2.140","6175.00","-0.07","-0.02","-0.21","100.60","0.07","12.39","-3.12","-0.06","8.25","8.31","23.94","22.87","241.9"
"2.160","6174.00","-0.14","0.15","-0.21","100.70","0.21","11.21","29.64","0.09","8.46","8.33","24.85","23.21","240.6"
"2.180","6165.00","-0.15","0.22","-0.20","100.60","0.27","8.26","-23.92","0.26","8.65","8.38","24.85","23.67","242.4"
"2.200","6177.00","-0.10","0.00","-0.23","100.60","0.10","-5.31","4.16","0.16","8.60","8.42","25.59","24.33","241.9"
"2.220","6180.00","-0.11","0.20","-0.23","100.60","0.23","-33.63","-4.16","-0.38","7.99","8.38","25.97","24.79","241.5"
"2.240","6183.00","-0.04","0.22","-0.21","100.50","0.22","-1.18","-2.08","-0.41","8.01","8.42","25.98","24.84","243.2"
"2.260","6181.00","-0.01","-0.03","-0.21","100.50","0.03","2.36","19.76","-0.28","8.15","8.52","26.01","24.49","241.9"
"2.280","6191.00","0.07","0.15","-0.23","100.60","0.17","-15.93","-16.12","-0.60","8.04","8.68","25.70","24.49","242.8"
"2.300","6196.00","-0.03","0.22","-0.21","100.60","0.22","-7.08","4.16","-0.67","8.22","8.98","25.68","24.39","243.2"
"2.320","6186.00","-0.02","0.00","-0.23","100.60","0.02","-0.00","2.60","-0.64","8.15","8.91","25.97","24.63","241.1"
"2.340","6194.00","-0.03","0.22","-0.21","100.60","0.22","49.56","3.64","0.06","8.99","8.91","26.34","24.93","242.4"
"2.360","6188.00","-0.05","0.22","-0.21","100.50","0.23","-0.59","-4.16","0.06","8.44","8.37","26.86","25.53","243.2"
"2.380","6196.00","-0.06","0.02","-0.23","100.50","0.06","-37.17","-19.76","-0.67","7.67","8.23","26.36","25.41","241.5"
"2.400","6201.00","-0.06","0.18","-0.23","100.60","0.19","-0.59","11.44","-0.55","7.71","8.28","26.36","25.19","242.8"
"2.420","6201.00","-0.07","0.20","-0.21","100.50","0.21","-8.85","-2.08","-0.72","7.66","8.38","25.02","23.89","243.7"
"2.440","6197.00","-0.09","0.07","-0.21","100.50","0.11","9.44","-9.36","-0.67","8.16","8.72","24.69","23.74","241.9"
"2.460","6211.00","-0.06","0.23","-0.23","100.60","0.24","-21.24","5.20","-0.99","7.87","8.79","24.90","23.85","244.1"
"2.480","6202.00","-0.09","0.20","-0.23","100.60","0.22","34.22","-6.76","-0.42","8.11","8.45","25.52","24.60","243.7"
"2.500","6201.00","-0.03","0.07","-0.24","100.60","0.08","30.68","4.16","0.20","8.41","8.23","25.85","24.85","241.9"
"2.520","6216.00","0.05","0.25","-0.23","100.50","0.25","-1.18","0.52","0.18","8.37","8.21","26.09","25.08","243.7"
"2.540","6213.00","-0.04","0.10","-0.21","100.60","0.11","-28.91","4.16","-0.34","8.02","8.35","26.25","25.16","244.1"
"2.560","6218.00","-0.09","0.10","-0.23","100.50","0.13","-4.72","9.36","-0.37","8.04","8.45","26.38","25.11","242.4"
"2.580","6211.00","-0.14","0.29","-0.24","100.60","0.32","-13.57","-0.00","-0.57","8.06","8.70","26.38","25.11","245.4"
"2.600","6219.00","-0.17","0.07","-0.21","100.60","0.18","4.13","0.52","-0.51","8.16","8.73","26.48","25.20","244.5"
"2.620","6217.00","-0.23","0.12","-0.23","100.70","0.26","13.57","1.56","-0.29","8.11","8.45","26.39","25.08","242.8"
"2.640","6220.00","-0.12","0.25","-0.23","100.60","0.28","35.99","-3.12","0.25","8.62","8.35","26.18","24.93","245.0"
"2.660","6233.00","-0.04","0.07","-0.23","100.60","0.08","-4.13","3.12","0.17","8.46","8.26","25.82","24.51","244.1"
"2.680","6234.00","0.04","0.12","-0.23","100.60","0.13","9.44","-6.24","0.34","8.48","8.12","25.62","24.43","243.7"
"2.700","6220.00","0.04","0.23","-0.24","100.50","0.23","-2.95","-1.56","0.30","8.55","8.24","25.67","24.51","245.9"
"2.720","6241.00","0.03","0.05","-0.21","100.50","0.06","-31.27","8.84","-0.19","8.18","8.40","25.88","24.55","245.0"
"2.740","6237.00","-0.02","0.15","-0.23","100.60","0.15","4.13","-6.24","-0.14","8.27","8.42","25.94","24.73","244.5"
"2.760","6227.00","-0.02","0.18","-0.26","100.60","0.18","27.73","-0.52","0.30","8.81","8.49","26.51","25.31","246.3"
"2.780","6241.00","-0.02","0.10","-0.23","100.60","0.10","-10.03","-2.08","0.15","8.67","8.52","27.01","25.85","244.5"
"2.800","6243.00","-0.01","0.10","-0.23","100.60","0.10","7.08","-0.00","0.26","8.78","8.51","27.01","25.85","245.0"
"2.820","6240.00","0.00","0.12","-0.26","100.60","0.12","-21.24","3.12","-0.08","8.43","8.52","27.28","26.06","246.3"
"2.840","6252.00","0.04","0.05","-0.24","100.60","0.06","14.16","7.80","0.12","8.55","8.40","27.13","25.76","243.7"
"2.860","6250.00","0.01","0.10","-0.24","100.60","0.10","23.60","-10.40","0.53","8.76","8.21","26.54","25.37","245.4"
"2.880","6246.00","-0.04","0.10","-0.24","100.60","0.11","2.95","13.52","0.48","8.67","8.07","25.91","24.48","245.9"
"2.900","6258.00","-0.02","0.10","-0.24","100.60","0.10","-16.52","17.68","0.21","8.41","8.09","25.50","23.73","244.1"
"2.920","6256.00","0.00","0.18","-0.24","100.50","0.18","-4.13","-0.52","0.16","8.37","8.12","25.14","23.38","245.9"
"2.940","6253.00","0.01","0.07","-0.26","100.60","0.07","10.62","2.08","0.27","8.57","8.14","25.22","23.42","245.9"
"2.960","6254.00","0.01","0.10","-0.24","100.50","0.10","-8.26","0.00","0.18","8.60","8.31","25.31","23.51","245.0"
"2.980","6256.00","0.03","0.15","-0.23","100.70","0.15","4.13","-1.56","0.23","8.76","8.40","26.01","24.24","246.3"
"3.000","6257.00","0.02","0.10","-0.26","100.60","0.10","2.95","14.56","0.23","8.71","8.30","26.74","24.69","245.0"
"3.020","6258.00","0.05","0.10","-0.24","100.50","0.11","7.08","-20.28","0.36","8.81","8.28","26.74","25.08","245.4"
"3.040","6267.00","-0.01","0.13","-0.24","100.50","0.13","0.59","-2.60","0.38","8.71","8.17","26.86","25.25","245.9"
"3.060","6267.00","0.01","0.12","-0.24","100.40","0.12","-11.80","-8.84","0.27","8.62","8.28","26.38","24.94","244.5"
"3.080","6269.00","-0.03","0.13","-0.24","100.60","0.13","-6.49","11.44","0.16","8.67","8.44","26.24","24.58","246.3"
"3.100","6272.00","-0.01","0.12","-0.23","100.60","0.12","17.70","-0.52","0.36","9.00","8.47","26.13","24.48","246.3"
"3.120","6269.00","-0.03","0.13","-0.24","100.60","0.13","4.72","-10.92","0.48","8.92","8.31","26.01","24.57","244.5"
"3.140","6265.00","0.02","0.12","-0.26","100.60","0.12","0.59","4.16","0.46","8.85","8.23","26.25","24.73","246.8"
"3.160","6284.00","0.01","0.12","-0.23","100.60","0.12","24.78","-3.64","0.81","9.23","8.19","26.50","25.05","247.2"
"3.180","6278.00","0.06","0.12","-0.24","100.60","0.13","-25.96","2.08","0.46","8.79","8.19","26.59","25.10","245.0"
"3.200","6272.00","0.12","0.07","-0.24","100.60","0.14","-12.98","10.92","0.25","8.76","8.38","26.75","25.05","247.7"
"3.220","6291.00","0.07","0.10","-0.21","100.60","0.12","-5.90","1.56","0.18","8.79","8.51","26.77","25.04","247.7"
"3.240","6285.00","0.07","0.08","-0.21","100.60","0.11","-7.08","-0.52","0.11","8.88","8.72","26.77","25.05","246.3"
"3.260","6281.00","0.07","0.10","-0.23","100.60","0.12","-7.08","-10.40","0.03","8.81","8.77","26.65","25.13","248.1"
"3.280","6291.00","0.03","0.13","-0.21","100.50","0.13","2.36","-2.60","0.06","8.71","8.63","26.75","25.28","246.8"
"3.300","6297.00","-0.08","0.18","-0.21","100.60","0.20","20.65","-3.12","0.35","8.88","8.45","26.72","25.31","247.2"
"3.320","6297.00","-0.01","0.13","-0.21","100.50","0.13","4.72","1.04","0.40","9.02","8.51","26.65","25.22","248.6"
"3.340","6294.00","-0.01","0.15","-0.21","100.50","0.15","-27.73","-8.84","0.04","8.74","8.70","26.48","25.22","245.9"
"3.360","6298.00","0.06","0.08","-0.21","100.50","0.10","5.31","2.60","0.11","8.92","8.79","26.63","25.32","247.7"
"3.380","6292.00","0.13","0.18","-0.23","100.60","0.22","0.00","-6.24","0.12","8.88","8.75","26.68","25.49","248.1"
"3.400","6302.00","0.23","0.15","-0.21","100.60","0.27","5.90","4.16","0.21","9.09","8.86","26.83","25.56","246.3"
"3.420","6299.00","0.14","0.08","-0.21","100.50","0.16","-5.90","-1.04","0.12","8.99","8.86","27.17","25.92","248.1"
"3.440","6303.00","0.15","0.20","-0.23","100.60","0.25","-9.44","0.52","-0.03","8.76","8.79","27.35","26.09","247.2"
"3.460","6311.00","0.07","0.10","-0.23","100.60","0.12","34.22","-6.24","0.55","9.21","8.66","27.35","26.21","246.8"
"3.480","6302.00","0.06","-0.03","-0.21","100.70","0.07","10.62","-3.64","0.77","9.11","8.38","27.17","26.10","247.7"
"3.500","6304.00","0.03","0.18","-0.21","100.70","0.18","-18.88","-9.36","0.52","8.69","8.28","26.21","25.32","246.8"
"3.520","6316.00","0.06","0.03","-0.21","100.50","0.07","-9.44","29.64","0.19","8.55","8.30","26.01","24.55","247.7"
"3.540","6316.00","0.10","0.05","-0.23","100.50","0.11","10.62","-6.24","0.36","8.78","8.35","25.43","24.09","249.0"
"3.560","6311.00","0.14","0.16","-0.21","100.60","0.21","4.72","-0.00","0.43","8.81","8.30","25.43","24.09","246.8"
"3.580","6323.00","0.08","-0.05","-0.23","100.60","0.09","-5.90","-19.24","0.48","8.79","8.38","25.46","24.49","249.0"
"3.600","6324.00","0.05","0.20","-0.21","100.60","0.21","-5.31","1.56","0.36","8.81","8.49","25.76","24.76","247.7"
"3.620","6308.00","0.11","0.12","-0.23","100.60","0.16","-10.62","4.16","0.15","8.58","8.44","26.15","25.07","247.7"
"3.640","6323.00","0.11","-0.02","-0.23","100.60","0.11","1.18","-0.52","0.17","8.60","8.44","26.75","25.68","249.5"
"3.660","6331.00","0.11","0.20","-0.21","100.60","0.23","3.54","4.16","0.22","8.81","8.59","26.86","25.71","248.6"
"3.680","6328.00","0.09","0.13","-0.21","100.60","0.16","2.36","13.52","0.21","9.06","8.80","27.02","25.61","248.6"
"3.700","6331.00","0.09","0.08","-0.23","100.60","0.12","-23.01","2.60","-0.10","8.71","8.84","27.04","25.58","249.5"
"3.720","6339.00","0.00","0.25","-0.21","100.60","0.25","22.42","4.16","0.18","8.90","8.65","27.01","25.47","247.2"
"3.740","6327.00","-0.02","0.07","-0.21","100.50","0.07","4.13","6.24","0.22","8.81","8.49","26.77","25.11","249.5"
"3.760","6340.00","-0.04","0.18","-0.21","100.50","0.18","12.39","-12.48","0.42","8.93","8.40","25.91","24.49","248.6"
"3.780","6337.00","-0.05","0.15","-0.21","100.50","0.16","-17.11","-0.00","0.19","8.83","8.59","25.91","24.49","247.7"
"3.800","6335.00","-0.06","-0.02","-0.20","100.50","0.06","-9.44","-2.60","0.07","8.71","8.63","26.04","24.67","250.0"
"3.820","6335.00","-0.06","0.23","-0.21","100.60","0.24","-15.34","-0.00","-0.15","8.71","8.89","26.04","24.67","247.7"
"3.840","6343.00","-0.01","0.03","-0.20","100.60","0.03","-5.31","7.80","-0.20","8.74","9.01","26.99","25.47","249.5"
"3.860","6334.00","0.00","0.13","-0.20","100.70","0.13","18.29","-23.40","0.04","8.79","8.75","27.29","26.22","249.9"
"3.880","6345.00","0.03","0.20","-0.23","100.60","0.20","15.93","1.56","0.32","8.92","8.61","27.40","26.30","247.7"
"3.900","6349.00","0.04","-0.05","-0.23","100.60","0.06","-14.16","6.24","0.07","8.72","8.65","27.02","25.80","249.9"
"3.920","6357.00","0.04","0.13","-0.20","100.50","0.14","4.13","-22.88","0.20","8.93","8.79","26.36","25.58","250.4"
"3.940","6352.00","-0.05","0.10","-0.20","100.50","0.11","-24.19","3.12","-0.36","8.74","9.01","26.18","25.34","248.6"
"3.960","6357.00","-0.09","-0.03","-0.23","100.60","0.09","-1.18","-15.08","-0.60","8.76","9.05","25.62","25.07","251.3"
"3.980","6357.00","-0.07","0.26","-0.21","100.60","0.27","11.21","1.04","-0.20","8.81","8.91","25.77","25.20","249.0"
"4.000","6355.00","-0.04","0.02","-0.21","100.60","0.04","15.93","4.16","0.30","8.85","8.68","26.38","25.73","249.9"
"4.020","6360.00","0.00","0.15","-0.21","100.60","0.15","17.11","3.64","0.72","8.97","8.51","26.93","26.21","250.4"
"4.040","6360.00","0.03","0.20","-0.20","100.60","0.20","-33.63","0.00","-0.17","8.20","8.31","26.93","26.21","248.6"
"4.060","6365.00","0.06","-0.03","-0.21","100.50","0.07","24.19","1.56","0.45","8.60","8.30","26.90","26.15","250.9"
"4.080","6362.00","0.05","0.26","-0.21","100.60","0.26","-3.54","11.96","0.28","8.83","8.59","26.90","25.92","249.5"
"4.100","6371.00","0.02","0.02","-0.21","100.70","0.03","-22.42","3.64","-0.15","8.72","8.86","26.57","25.52","250.0"
